Date,Open,High,Low,Close
10/4/2020,"10,580","10,700","10,536","10,652"
10/5/2020,"10,652","10,754","10,635","10,741"
10/6/2020,"10,740","10,797","10,544","10,557"
10/7/2020,"10,557","10,678","10,546","10,660"
10/8/2020,"10,662","10,945","10,558","10,894"
10/9/2020,"10,894","11,099","10,848","11,042"
10/10/2020,"11,041","11,464","11,029","11,371"
10/11/2020,"11,371","11,436","11,277","11,350"
10/12/2020,"11,342","11,599","11,225","11,564"
10/13/2020,"11,564","11,719","11,322","11,437"
10/14/2020,"11,437","11,546","11,306","11,396"
10/15/2020,"11,398","11,593","11,288","11,544"
10/16/2020,"11,558","11,558","11,231","11,314"
10/17/2020,"11,319","11,406","11,283","11,356"
10/18/2020,"11,357","11,500","11,345","11,447"
10/19/2020,"11,447","11,811","11,419","11,732"
10/20/2020,"11,732","12,044","11,693","11,904"
10/21/2020,"11,904","12,905","11,889","12,853"
10/22/2020,"12,856","13,216","12,706","13,128"
10/23/2020,"13,128","13,197","12,746","12,941"
10/24/2020,"12,941","13,161","12,887","13,103"
10/25/2020,"13,103","13,339","12,911","13,040"
10/26/2020,"13,038","13,242","12,810","13,025"
10/27/2020,"13,025","13,754","13,000","13,632"
10/28/2020,"13,619","13,847","12,925","13,208"
10/29/2020,"13,208","13,641","12,990","13,482"
10/30/2020,"13,484","13,673","13,146","13,644"
10/31/2020,"13,644","14,047","13,440","13,841"
11/1/2020,"13,847","13,894","13,645","13,816"
11/2/2020,"13,816","13,837","13,243","13,622"
11/3/2020,"13,619","13,798","13,308","13,733"
11/4/2020,"13,733","14,240","13,556","14,002"
11/5/2020,"14,005","15,291","14,005","15,244"
11/6/2020,"15,244","15,937","15,206","15,561"
11/7/2020,"15,549","15,760","14,428","14,846"
11/8/2020,"14,846","15,652","14,692","15,347"
11/9/2020,"15,333","15,845","14,866","15,392"
11/10/2020,"15,392","15,470","15,092","15,393"
11/11/2020,"15,393","15,959","15,293","15,799"
11/12/2020,"15,799","16,204","15,499","16,150"
11/13/2020,"16,155","16,486","15,984","16,287"
11/14/2020,"16,287","16,362","15,738","15,997"
11/15/2020,"15,996","16,149","15,824","15,865"
11/16/2020,"15,859","16,885","15,795","16,717"
11/17/2020,"16,717","17,837","16,569","17,627"
11/18/2020,"17,633","18,467","17,318","17,781"
11/19/2020,"17,781","18,163","17,377","17,939"
11/20/2020,"17,939","18,809","17,732","18,586"
11/21/2020,"18,586","18,964","18,443","18,638"
11/22/2020,"18,635","18,733","17,666","18,585"
11/23/2020,"18,585","18,759","18,012","18,426"
11/24/2020,"18,419","19,414","18,120","18,938"
11/25/2020,"18,938","19,495","18,649","18,846"
11/26/2020,"18,859","18,924","16,311","17,122"
11/27/2020,"17,122","17,463","16,508","17,037"
11/28/2020,"17,037","17,891","16,895","17,764"
11/29/2020,"17,765","18,330","17,556","18,267"
11/30/2020,"18,267","19,835","18,094","19,376"
12/1/2020,"19,380","19,928","18,229","19,089"
12/2/2020,"19,089","19,337","18,362","19,161"
12/3/2020,"19,160","19,618","18,920","19,465"
12/4/2020,"19,465","19,550","18,735","18,833"
12/5/2020,"18,828","19,186","18,512","19,019"
12/6/2020,"19,019","19,339","18,895","19,246"
12/7/2020,"19,249","19,429","18,924","19,087"
12/8/2020,"19,087","19,302","18,632","18,784"
12/9/2020,"18,776","18,823","17,653","18,550"
12/10/2020,"18,550","18,650","17,938","18,352"
12/11/2020,"18,351","18,396","17,604","18,106"
12/12/2020,"18,106","18,837","18,033","18,794"
12/13/2020,"18,800","19,414","18,734","19,182"
12/14/2020,"19,182","19,314","18,996","19,201"
12/15/2020,"19,199","19,561","19,086","19,431"
12/16/2020,"19,431","21,275","19,319","21,240"
12/17/2020,"21,200","23,685","21,200","22,767"
12/18/2020,"22,775","23,278","22,398","22,911"
12/19/2020,"22,898","24,128","22,805","24,004"
12/20/2020,"23,988","24,244","23,117","23,494"
12/21/2020,"23,406","24,094","22,080","23,146"
12/22/2020,"23,138","23,598","22,385","23,434"
12/23/2020,"23,434","24,085","22,863","23,299"
12/24/2020,"23,295","23,546","22,689","23,384"
12/25/2020,"23,399","24,657","23,379","24,409"
12/26/2020,"24,409","26,753","24,379","26,648"
12/27/2020,"26,666","28,326","25,824","26,303"
12/28/2020,"26,303","27,404","26,136","26,634"
12/29/2020,"26,606","27,164","25,926","26,870"
12/30/2020,"26,870","28,980","26,870","28,896"
12/31/2020,"28,898","29,298","27,989","28,966"
1/1/2021,"28,965","29,650","28,754","29,259"
1/2/2021,"29,243","33,219","29,050","31,690"
1/3/2021,"31,714","34,524","31,494","33,581"
1/4/2021,"33,581","33,649","28,258","31,027"
1/5/2021,"31,029","34,221","29,991","33,788"
1/6/2021,"33,788","36,452","33,478","35,848"
1/7/2021,"35,934","40,358","35,806","39,596"
1/8/2021,"39,596","41,958","36,722","39,927"
1/9/2021,"39,927","41,401","38,775","40,769"
1/10/2021,"40,802","41,423","35,193","37,984"
1/11/2021,"37,984","38,931","30,323","34,184"
1/12/2021,"34,088","36,612","32,585","34,766"
1/13/2021,"34,736","37,358","32,466","37,248"
1/14/2021,"37,248","40,030","36,799","38,863"
1/15/2021,"38,757","39,673","34,446","36,324"
1/16/2021,"36,324","37,938","35,624","35,785"
1/17/2021,"35,935","36,828","33,928","36,530"
1/18/2021,"36,530","37,433","34,841","36,255"
1/19/2021,"36,252","37,843","36,170","36,494"
1/20/2021,"36,494","36,788","33,487","34,892"
1/21/2021,"34,919","35,664","31,048","31,275"
1/22/2021,"31,275","33,842","28,898","33,375"
1/23/2021,"33,375","33,642","31,471","32,340"
1/24/2021,"32,399","33,069","31,012","31,934"
1/25/2021,"31,934","34,860","31,731","32,643"
1/26/2021,"32,681","32,812","30,921","31,993"
1/27/2021,"31,993","32,879","29,288","31,030"
1/28/2021,"30,941","33,286","29,970","33,274"
1/29/2021,"33,274","38,641","32,002","34,715"
1/30/2021,"34,642","35,344","32,880","34,649"
1/31/2021,"34,649","34,789","32,237","32,626"
2/1/2021,"32,608","34,698","32,397","33,667"
2/2/2021,"33,667","35,982","33,470","35,686"
2/3/2021,"35,710","37,450","35,473","37,284"
2/4/2021,"37,284","38,725","36,281","37,712"
2/5/2021,"37,687","38,325","36,642","37,853"
2/6/2021,"37,853","40,972","37,714","40,103"
2/7/2021,"40,085","40,481","37,422","38,610"
2/8/2021,"38,610","44,797","38,085","44,797"
2/9/2021,"44,692","48,219","44,356","47,357"
2/10/2021,"47,357","47,357","43,783","45,039"
2/11/2021,"45,050","48,593","44,090","46,943"
2/12/2021,"46,943","48,842","46,438","47,853"
2/13/2021,"47,962","48,143","46,342","47,210"
2/14/2021,"47,210","49,698","46,954","48,921"
2/15/2021,"48,840","49,277","45,944","48,183"
2/16/2021,"48,183","50,513","47,186","48,642"
2/17/2021,"48,607","52,619","48,590","52,333"
2/18/2021,"52,333","52,524","51,023","52,059"
2/19/2021,"52,051","56,211","50,880","55,493"
2/20/2021,"55,493","57,485","55,101","56,501"
2/21/2021,"56,523","58,315","54,040","57,332"
2/22/2021,"57,332","57,616","48,034","54,919"
2/23/2021,"54,919","55,032","45,212","48,016"
2/24/2021,"48,084","51,337","47,039","48,720"
2/25/2021,"48,720","52,054","48,119","48,199"
2/26/2021,"48,199","48,821","44,246","45,621"
2/27/2021,"45,680","48,321","45,118","46,844"
2/28/2021,"46,844","46,859","43,197","45,255"
3/1/2021,"45,254","49,412","44,970","48,844"
3/2/2021,"48,844","50,200","47,144","47,477"
3/3/2021,"47,466","52,564","47,422","50,952"
3/4/2021,"50,952","51,777","47,555","47,924"
3/5/2021,"47,917","49,442","46,472","49,138"
3/6/2021,"49,138","49,391","47,147","48,583"
3/7/2021,"48,592","51,343","48,552","50,104"
3/8/2021,"50,104","51,949","49,368","51,896"
3/9/2021,"51,883","54,818","51,448","54,313"
3/10/2021,"54,313","57,357","53,235","56,932"
3/11/2021,"56,954","57,918","54,416","57,721"
3/12/2021,"57,721","58,118","55,160","56,981"
3/13/2021,"56,990","61,732","56,144","61,002"
3/14/2021,"61,002","61,674","59,348","60,173"
3/15/2021,"60,259","60,738","55,030","56,398"
3/16/2021,"56,398","56,952","53,311","56,379"
3/17/2021,"56,392","58,197","54,298","57,834"
3/18/2021,"57,706","60,040","57,145","57,533"
3/19/2021,"57,533","59,436","56,303","58,426"
3/20/2021,"58,404","59,909","57,890","58,466"
3/21/2021,"58,466","58,792","55,578","57,792"
3/22/2021,"57,788","58,373","54,316","54,610"
3/23/2021,"54,610","55,816","53,100","54,346"
3/24/2021,"54,445","57,159","53,294","54,175"
3/25/2021,"54,175","54,175","50,485","51,989"
3/26/2021,"51,989","54,262","51,309","54,014"
3/27/2021,"54,014","56,254","53,986","55,916"
3/28/2021,"55,909","56,616","54,740","54,863"
3/29/2021,"54,863","58,335","54,830","57,176"
3/30/2021,"57,250","59,408","57,078","58,671"
3/31/2021,"58,671","59,831","57,054","58,932"
4/1/2021,"58,932","59,441","58,021","58,855"
4/2/2021,"58,862","60,118","58,526","58,655"
4/3/2021,"58,655","59,797","57,848","58,063"
4/4/2021,"58,038","58,463","56,504","58,030"
4/5/2021,"58,030","59,231","56,886","58,810"
4/6/2021,"58,800","59,469","57,391","58,244"
4/7/2021,"58,244","58,624","55,494","56,157"
4/8/2021,"56,221","58,134","55,752","57,681"
4/9/2021,"57,677","58,879","57,473","58,354"
4/10/2021,"58,354","61,197","57,876","58,621"
4/11/2021,"58,606","60,649","58,599","59,607"
4/12/2021,"59,607","61,224","59,429","60,011"
4/13/2021,"60,000","63,621","59,783","63,196"
4/14/2021,"63,196","64,788","61,368","62,357"
4/15/2021,"62,403","63,649","62,034","63,381"
4/16/2021,"63,381","63,769","60,081","61,962"
4/17/2021,"61,977","62,490","59,747","60,843"
4/18/2021,"60,843","60,966","51,907","56,239"
4/19/2021,"56,231","57,554","54,305","56,175"
4/20/2021,"56,175","57,035","53,463","56,852"
4/21/2021,"56,781","57,079","54,346","55,029"
4/22/2021,"55,029","55,410","51,515","51,843"
4/23/2021,"51,597","52,220","47,657","50,620"
4/24/2021,"50,556","51,215","48,821","50,955"
4/25/2021,"50,955","51,113","48,075","48,075"
4/26/2021,"48,065","54,363","47,110","53,297"
4/27/2021,"53,297","55,289","52,689","55,067"
4/28/2021,"55,180","56,369","53,913","54,456"
4/29/2021,"54,456","55,191","52,408","53,006"
4/30/2021,"52,991","57,295","52,871","56,803"
5/1/2021,"56,812","58,459","56,726","57,700"
5/2/2021,"57,685","57,948","56,130","57,016"
5/3/2021,"57,016","58,973","56,306","56,826"
5/4/2021,"56,821","57,465","53,330","54,842"
5/5/2021,"54,842","57,909","53,058","56,854"
5/6/2021,"56,863","58,334","55,427","55,987"
5/7/2021,"55,987","58,683","55,350","57,699"
5/8/2021,"57,713","59,556","56,915","59,014"
5/9/2021,"59,014","59,318","56,530","57,982"
5/10/2021,"58,001","59,552","54,000","55,328"
5/11/2021,"55,328","56,949","54,612","56,942"
5/12/2021,"56,942","57,977","53,646","54,540"
5/13/2021,"54,540","54,820","46,710","49,253"
5/14/2021,"49,253","51,543","48,528","49,351"
5/15/2021,"49,351","50,661","47,128","48,255"
5/16/2021,"48,266","49,812","43,893","44,062"
5/17/2021,"44,062","46,552","42,162","44,843"
5/18/2021,"44,853","45,816","42,539","43,318"
5/19/2021,"43,367","43,569","30,445","38,390"
5/20/2021,"38,468","42,569","35,132","40,108"
5/21/2021,"40,108","42,124","35,263","35,263"
5/22/2021,"35,250","38,800","33,623","38,086"
5/23/2021,"38,093","38,397","31,228","33,791"
5/24/2021,"33,791","39,831","33,715","38,999"
5/25/2021,"39,067","39,845","36,553","37,656"
5/26/2021,"37,656","40,859","37,526","38,731"
